pai_date,pai_datetime_beginning_utc,pai_datetime_beginning_ept,pai_datetime_ending_utc,pai_datetime_ending_ept,pai_area,final_bal_ratio
12/24/2022 12:00:00 AM,12/24/2022 2:55:00 PM,12/24/2022 9:55:00 AM,12/24/2022 3:00:00 PM,12/24/2022 10:00:00 AM,RTO,82.46
12/24/2022 12:00:00 AM,12/24/2022 3:00:00 PM,12/24/2022 10:00:00 AM,12/24/2022 3:05:00 PM,12/24/2022 10:05:00 AM,RTO,82.57
12/24/2022 12:00:00 AM,12/24/2022 3:05:00 PM,12/24/2022 10:05:00 AM,12/24/2022 3:10:00 PM,12/24/2022 10:10:00 AM,RTO,82.77
12/24/2022 12:00:00 AM,12/24/2022 3:10:00 PM,12/24/2022 10:10:00 AM,12/24/2022 3:15:00 PM,12/24/2022 10:15:00 AM,RTO,82.70
12/24/2022 12:00:00 AM,12/24/2022 3:15:00 PM,12/24/2022 10:15:00 AM,12/24/2022 3:20:00 PM,12/24/2022 10:20:00 AM,RTO,82.83
12/24/2022 12:00:00 AM,12/24/2022 3:20:00 PM,12/24/2022 10:20:00 AM,12/24/2022 3:25:00 PM,12/24/2022 10:25:00 AM,RTO,82.66
12/24/2022 12:00:00 AM,12/24/2022 3:25:00 PM,12/24/2022 10:25:00 AM,12/24/2022 3:30:00 PM,12/24/2022 10:30:00 AM,RTO,82.63
12/24/2022 12:00:00 AM,12/24/2022 3:30:00 PM,12/24/2022 10:30:00 AM,12/24/2022 3:35:00 PM,12/24/2022 10:35:00 AM,RTO,82.17
12/24/2022 12:00:00 AM,12/24/2022 3:35:00 PM,12/24/2022 10:35:00 AM,12/24/2022 3:40:00 PM,12/24/2022 10:40:00 AM,RTO,81.92
12/24/2022 12:00:00 AM,12/24/2022 3:40:00 PM,12/24/2022 10:40:00 AM,12/24/2022 3:45:00 PM,12/24/2022 10:45:00 AM,RTO,81.98
12/24/2022 12:00:00 AM,12/24/2022 3:45:00 PM,12/24/2022 10:45:00 AM,12/24/2022 3:50:00 PM,12/24/2022 10:50:00 AM,RTO,82.02
12/24/2022 12:00:00 AM,12/24/2022 3:50:00 PM,12/24/2022 10:50:00 AM,12/24/2022 3:55:00 PM,12/24/2022 10:55:00 AM,RTO,82.35
12/24/2022 12:00:00 AM,12/24/2022 3:55:00 PM,12/24/2022 10:55:00 AM,12/24/2022 4:00:00 PM,12/24/2022 11:00:00 AM,RTO,82.18
12/24/2022 12:00:00 AM,12/24/2022 4:00:00 PM,12/24/2022 11:00:00 AM,12/24/2022 4:05:00 PM,12/24/2022 11:05:00 AM,RTO,81.98
12/24/2022 12:00:00 AM,12/24/2022 4:05:00 PM,12/24/2022 11:05:00 AM,12/24/2022 4:10:00 PM,12/24/2022 11:10:00 AM,RTO,82.16
12/24/2022 12:00:00 AM,12/24/2022 4:10:00 PM,12/24/2022 11:10:00 AM,12/24/2022 4:15:00 PM,12/24/2022 11:15:00 AM,RTO,82.19
12/24/2022 12:00:00 AM,12/24/2022 4:15:00 PM,12/24/2022 11:15:00 AM,12/24/2022 4:20:00 PM,12/24/2022 11:20:00 AM,RTO,81.89
12/24/2022 12:00:00 AM,12/24/2022 4:20:00 PM,12/24/2022 11:20:00 AM,12/24/2022 4:25:00 PM,12/24/2022 11:25:00 AM,RTO,82.13
12/24/2022 12:00:00 AM,12/24/2022 4:25:00 PM,12/24/2022 11:25:00 AM,12/24/2022 4:30:00 PM,12/24/2022 11:30:00 AM,RTO,82.21
